time	V(U1M)	V(U1U2)	V(u1)
0.000000000000000e+000	3.533936e-002	1.294556e-001	7.500353e+002
1.152587890620865e-004	3.149414e-002	1.153564e-001	7.500315e+002
1.252587890620896e-004	-1.249686e+002	-1.873854e+002	5.625314e+002
1.352587890620927e-004	-3.749681e+002	-5.623854e+002	1.875319e+002
1.452587890620957e-004	-4.999669e+002	-7.498843e+002	3.308513e-002
1.652587890621018e-004	-4.999643e+002	-7.498816e+002	3.573009e-002
1.752587890621049e-004	-4.374631e+002	-7.498803e+002	3.692920e-002
1.852587890621080e-004	-3.124622e+002	-7.498791e+002	3.780542e-002
1.952587890621110e-004	-2.499616e+002	-7.498778e+002	3.836199e-002
2.295445033478358e-004	-2.499601e+002	-7.498735e+002	3.987328e-002
2.638302176335606e-004	-2.499587e+002	-7.498693e+002	4.133760e-002
2.981159319192854e-004	-2.499572e+002	-7.498653e+002	4.275495e-002
3.324016462050102e-004	-2.499559e+002	-7.498614e+002	4.412534e-002
3.666873604907350e-004	-2.499546e+002	-7.498576e+002	4.544876e-002
4.009730747764598e-004	-2.499533e+002	-7.498540e+002	4.672521e-002
4.352587890621845e-004	-2.499520e+002	-7.498505e+002	4.795469e-002
4.452587890621876e-004	-1.874518e+002	-5.623498e+002	4.820290e-002
4.552587890621906e-004	-6.245187e+001	-1.873501e+002	4.813769e-002
4.652587890621937e-004	4.774719e-002	1.487198e-001	4.776219e-002
4.702809709818064e-004	4.750779e-002	1.479736e-001	4.752262e-002
4.753031529014191e-004	4.726951e-002	1.472312e-001	4.728426e-002
4.803253348210317e-004	4.703235e-002	1.464925e-001	4.704711e-002
4.853475167406444e-004	4.679631e-002	1.457576e-001	4.681116e-002
4.903696986602571e-004	4.656139e-002	1.450264e-001	4.657642e-002
4.953918805798697e-004	4.632759e-002	1.442990e-001	4.634288e-002
5.004140624994824e-004	4.609491e-002	1.435754e-001	4.611056e-002
5.428359374816186e-004	4.418083e-002	1.376115e-001	4.419583e-002
5.528359374816216e-004	-6.245615e+001	-1.873634e+002	4.385958e-002
5.628359374816247e-004	-1.874562e+002	-5.623636e+002	4.383762e-002
5.728359374816278e-004	-2.499559e+002	-7.498627e+002	4.412682e-002
6.028359374816369e-004	-2.499547e+002	-7.498594e+002	4.528270e-002
6.328359374816461e-004	-2.499536e+002	-7.498562e+002	4.640677e-002
6.628359374816553e-004	-2.499525e+002	-7.498530e+002	4.749903e-002
6.928359374816645e-004	-2.499514e+002	-7.498500e+002	4.855948e-002
7.228359374816737e-004	-2.499504e+002	-7.498470e+002	4.958812e-002
7.528359374816829e-004	-2.499494e+002	-7.498442e+002	5.058495e-002
7.828359374816921e-004	-2.499485e+002	-7.498414e+002	5.154997e-002
7.928359374816951e-004	-3.124480e+002	-7.498405e+002	5.196968e-002
8.028359374816982e-004	-4.374473e+002	-7.498396e+002	5.269615e-002
8.128359374817012e-004	-4.999463e+002	-7.498387e+002	5.372634e-002
8.828359374817227e-004	-4.999386e+002	-7.498327e+002	6.136028e-002
8.928359374817257e-004	-3.749378e+002	-5.623322e+002	1.875622e+002
9.028359374817288e-004	-1.249376e+002	-1.873326e+002	5.625624e+002
9.128359374817319e-004	6.195068e-002	1.660156e-001	7.500620e+002
1.000000000000077e-003	5.676270e-002	1.520996e-001	7.500568e+002
1.075000000000097e-003	5.267334e-002	1.411133e-001	7.500527e+002
1.085000000000100e-003	-1.249476e+002	-1.873600e+002	5.625524e+002
1.095000000000103e-003	-3.749473e+002	-5.623601e+002	1.875527e+002
1.105000000000106e-003	-4.999464e+002	-7.498593e+002	5.362903e-002
1.120714285714397e-003	-4.999446e+002	-7.498576e+002	5.539009e-002
1.136428571428687e-003	-4.999429e+002	-7.498559e+002	5.712470e-002
1.152142857142978e-003	-4.999412e+002	-7.498542e+002	5.883288e-002
1.167857142857268e-003	-4.999395e+002	-7.498526e+002	6.051462e-002
1.183571428571559e-003	-4.999378e+002	-7.498510e+002	6.216992e-002
1.199285714285849e-003	-4.999362e+002	-7.498495e+002	6.379878e-002
1.215000000000140e-003	-4.999346e+002	-7.498479e+002	6.540120e-002
1.225000000000143e-003	-4.374337e+002	-7.498469e+002	6.630488e-002
1.235000000000146e-003	-3.124331e+002	-7.498460e+002	6.688862e-002
1.245000000000149e-003	-2.499328e+002	-7.498450e+002	6.715560e-002
1.269285714285871e-003	-2.499325e+002	-7.498427e+002	6.754250e-002
1.293571428571592e-003	-2.499321e+002	-7.498405e+002	6.792065e-002
1.317857142857314e-003	-2.499317e+002	-7.498384e+002	6.829003e-002
1.342142857143036e-003	-2.499313e+002	-7.498362e+002	6.865066e-002
1.366428571428757e-003	-2.499310e+002	-7.498342e+002	6.900252e-002
1.390714285714479e-003	-2.499307e+002	-7.498321e+002	6.934563e-002
1.415000000000201e-003	-2.499303e+002	-7.498302e+002	6.967998e-002
1.425000000000204e-003	-1.874303e+002	-5.623297e+002	6.971186e-002
1.435000000000207e-003	-6.243058e+001	-1.873302e+002	6.943250e-002
1.445000000000210e-003	6.882997e-002	1.684469e-001	6.884497e-002
1.500000000000827e-003	6.513973e-002	1.594225e-001	6.515750e-002
1.500000000001528e-003	6.520179e-002	1.594225e-001	6.515750e-002
1.500000000002326e-003	6.524663e-002	1.594225e-001	6.515750e-002
1.500000000003929e-003	6.526320e-002	1.594225e-001	6.515750e-002
1.500000000013546e-003	6.522986e-002	1.594225e-001	6.515750e-002
1.500000000029568e-003	6.520382e-002	1.594225e-001	6.515750e-002
1.500000000035980e-003	6.522271e-002	1.594225e-001	6.515750e-002
1.500000000048796e-003	6.522965e-002	1.594225e-001	6.515750e-002
1.500000000074435e-003	6.518485e-002	1.594225e-001	6.515750e-002
1.500000000125706e-003	6.513574e-002	1.594225e-001	6.515750e-002
1.500000000260307e-003	6.511669e-002	1.594225e-001	6.515750e-002
1.500000000298762e-003	6.509330e-002	1.594225e-001	6.515750e-002
1.500000000478223e-003	6.516317e-002	1.594225e-001	6.515750e-002
1.500000000837137e-003	6.521936e-002	1.594225e-001	6.515750e-002
1.500000002067715e-003	6.521289e-002	1.594225e-001	6.515750e-002
1.500000006990014e-003	6.514965e-002	1.594225e-001	6.515750e-002
1.563763772061882e-003	6.111733e-002	1.495718e-001	6.113233e-002
1.573763772061886e-003	-6.243938e+001	-1.873516e+002	6.062744e-002
1.583763772061889e-003	-1.874396e+002	-5.623519e+002	6.043852e-002
1.593763772061892e-003	-2.499394e+002	-7.498511e+002	6.056243e-002
1.613763772061898e-003	-2.499390e+002	-7.498491e+002	6.101240e-002
1.633763772061904e-003	-2.499385e+002	-7.498471e+002	6.145387e-002
1.653763772061910e-003	-2.499381e+002	-7.498452e+002	6.188685e-002
1.673763772061916e-003	-2.499377e+002	-7.498433e+002	6.231133e-002
1.693763772061922e-003	-2.499373e+002	-7.498415e+002	6.272732e-002
1.713763772061928e-003	-2.499369e+002	-7.498397e+002	6.313483e-002
1.733763772061935e-003	-2.499365e+002	-7.498379e+002	6.353384e-002
1.743763772061938e-003	-3.124362e+002	-7.498370e+002	6.383422e-002
1.753763772061941e-003	-4.374356e+002	-7.498362e+002	6.444256e-002
1.763763772061944e-003	-4.999346e+002	-7.498353e+002	6.535579e-002
1.785192343490522e-003	-4.999325e+002	-7.498335e+002	6.750070e-002
1.806620914919100e-003	-4.999304e+002	-7.498318e+002	6.960241e-002
1.828049486347678e-003	-4.999283e+002	-7.498300e+002	7.166093e-002
1.849478057776256e-003	-4.999263e+002	-7.498283e+002	7.367625e-002
1.870906629204834e-003	-4.999244e+002	-7.498267e+002	7.564837e-002
1.892335200633412e-003	-4.999224e+002	-7.498250e+002	7.757730e-002
1.913763772061990e-003	-4.999205e+002	-7.498234e+002	7.946302e-002
1.923763772061993e-003	-3.749199e+002	-5.623230e+002	1.875801e+002
1.933763772061996e-003	-1.249199e+002	-1.873235e+002	5.625801e+002
1.943763772061999e-003	7.952881e-002	1.749878e-001	7.500795e+002
2.000000000000078e-003	7.519531e-002	1.654053e-001	7.500752e+002
2.055000000000092e-003	7.116699e-002	1.565552e-001	7.500712e+002
2.065000000000095e-003	-1.249293e+002	-1.873447e+002	5.625707e+002
2.075000000000098e-003	-3.749292e+002	-5.623450e+002	1.875708e+002
2.085000000000101e-003	-4.999284e+002	-7.498443e+002	7.155475e-002
2.105000000000107e-003	-4.999266e+002	-7.498425e+002	7.343566e-002
2.125000000000113e-003	-4.999247e+002	-7.498406e+002	7.528106e-002
2.145000000000119e-003	-4.999229e+002	-7.498389e+002	7.709097e-002
2.165000000000125e-003	-4.999211e+002	-7.498371e+002	7.886538e-002
2.185000000000131e-003	-4.999194e+002	-7.498354e+002	8.060428e-002
2.205000000000137e-003	-4.999177e+002	-7.498337e+002	8.230769e-002
2.225000000000144e-003	-4.999160e+002	-7.498320e+002	8.397560e-002
2.235000000000147e-003	-4.999152e+002	-7.498312e+002	8.479799e-002
2.245000000000150e-003	-4.999144e+002	-7.498304e+002	8.561219e-002
2.265000000000156e-003	-4.999128e+002	-7.498288e+002	8.721634e-002
2.275000000000159e-003	-4.214127e+002	-7.498280e+002	8.792999e-002
2.280923691813333e-003	-3.147170e+002	-7.498275e+002	8.816252e-002
2.287301069545895e-003	-2.499118e+002	-7.498271e+002	8.819529e-002
2.306139479244053e-003	-2.499119e+002	-7.498257e+002	8.810383e-002
2.316139479244056e-003	-2.499119e+002	-7.498249e+002	8.805592e-002
2.326139479244059e-003	-2.499120e+002	-7.498242e+002	8.800850e-002
2.336139479244062e-003	-2.499120e+002	-7.498234e+002	8.796155e-002
2.346139479244065e-003	-2.499121e+002	-7.498227e+002	8.791506e-002
2.366139479244071e-003	-2.499122e+002	-7.498212e+002	8.782347e-002
2.386139479244077e-003	-2.499123e+002	-7.498198e+002	8.773370e-002
2.396139479244080e-003	-1.874124e+002	-5.623195e+002	8.758584e-002
2.406139479244084e-003	-6.241288e+001	-1.873200e+002	8.712850e-002
2.416139479244087e-003	8.634977e-002	1.784905e-001	8.636477e-002
2.500000000000079e-003	7.939728e-002	1.641193e-001	7.941228e-002
2.593860251921841e-003	7.228132e-002	1.494101e-001	7.229632e-002
2.603860251921844e-003	-6.242833e+001	-1.873518e+002	7.168027e-002
2.613860251921847e-003	-1.891241e+002	-5.674385e+002	7.137848e-002
2.623332023909956e-003	-2.499286e+002	-7.498513e+002	7.138998e-002
2.631903452481388e-003	-2.499285e+002	-7.498505e+002	7.149161e-002
2.640474881052819e-003	-2.499284e+002	-7.498496e+002	7.159240e-002
2.649046309624250e-003	-2.499283e+002	-7.498487e+002	7.169233e-002
2.657617738195681e-003	-2.499282e+002	-7.498479e+002	7.179142e-002
2.666189166767113e-003	-2.499281e+002	-7.498470e+002	7.188966e-002
2.674760595338544e-003	-2.499280e+002	-7.498462e+002	7.198705e-002
2.683332023909975e-003	-2.499279e+002	-7.498454e+002	7.208359e-002
2.693332023909978e-003	-3.124277e+002	-7.498444e+002	7.229885e-002
2.703332023909981e-003	-4.379490e+002	-7.498436e+002	7.282206e-002
2.713166420071335e-003	-4.999264e+002	-7.498426e+002	7.363733e-002
2.730202937160966e-003	-4.999248e+002	-7.498410e+002	7.520713e-002
2.747239454250597e-003	-4.999232e+002	-7.498395e+002	7.675148e-002
2.764275971340228e-003	-4.999217e+002	-7.498380e+002	7.827037e-002
2.781312488429859e-003	-4.999202e+002	-7.498365e+002	7.976381e-002
2.798349005519490e-003	-4.999188e+002	-7.498350e+002	8.123180e-002
2.815385522609122e-003	-4.999173e+002	-7.498336e+002	8.267433e-002
2.832422039698752e-003	-4.999159e+002	-7.498322e+002	8.409141e-002
2.842422039698755e-003	-4.999151e+002	-7.498314e+002	8.491264e-002
2.862422039698762e-003	-4.999135e+002	-7.498298e+002	8.653066e-002
2.892422039698771e-003	-4.999111e+002	-7.498274e+002	8.889777e-002
2.932422039698783e-003	-4.999081e+002	-7.498244e+002	9.194538e-002
2.942422039698786e-003	-3.749075e+002	-5.623240e+002	1.875925e+002
2.952422039698789e-003	-1.249076e+002	-1.873245e+002	5.625924e+002
2.962422039698792e-003	9.167480e-002	1.740723e-001	7.500917e+002
3.000000000000086e-003	8.825684e-002	1.676025e-001	7.500883e+002
3.035000000000093e-003	8.520508e-002	1.618652e-001	7.500852e+002
3.045000000000096e-003	-1.249154e+002	-1.873394e+002	5.625846e+002
3.055000000000099e-003	-3.749154e+002	-5.623398e+002	1.875846e+002
3.065000000000102e-003	-4.999148e+002	-7.498392e+002	8.521033e-002
3.100714285714399e-003	-4.999119e+002	-7.498361e+002	8.805834e-002
3.136428571428696e-003	-4.999092e+002	-7.498331e+002	9.081451e-002
3.172142857142992e-003	-4.999065e+002	-7.498302e+002	9.347885e-002
3.207857142857289e-003	-4.999039e+002	-7.498273e+002	9.605135e-002
3.243571428571586e-003	-4.999015e+002	-7.498246e+002	9.853202e-002
3.279285714285883e-003	-4.998991e+002	-7.498220e+002	1.009209e-001
3.315000000000179e-003	-4.998968e+002	-7.498195e+002	1.032179e-001
3.325000000000182e-003	-4.373963e+002	-7.498187e+002	1.037450e-001
3.335000000000185e-003	-3.123960e+002	-7.498181e+002	1.039560e-001
3.345000000000188e-003	-2.498961e+002	-7.498174e+002	1.038539e-001
3.355000000000191e-003	-2.498964e+002	-7.498168e+002	1.036491e-001
3.365000000000194e-003	-1.873967e+002	-5.623164e+002	1.033428e-001
3.375000000000197e-003	-6.239728e+001	-1.873170e+002	1.027286e-001
3.385000000000200e-003	1.017945e-001	1.814729e-001	1.018095e-001
3.499999999999788e-003	9.073398e-002	1.617422e-001	9.074188e-002
3.500000000001109e-003	9.076411e-002	1.617422e-001	9.074188e-002
3.500000000002431e-003	9.078926e-002	1.617422e-001	9.074188e-002
3.500000000003752e-003	9.080943e-002	1.617422e-001	9.074188e-002
3.500000000005073e-003	9.082461e-002	1.617422e-001	9.074188e-002
3.500000000006395e-003	9.083482e-002	1.617422e-001	9.074188e-002
3.500000000007716e-003	9.084004e-002	1.617422e-001	9.074188e-002
3.500000000009038e-003	9.084028e-002	1.617422e-001	9.074188e-002
3.500000000018586e-003	9.085652e-002	1.617422e-001	9.074188e-002
3.500000000152256e-003	9.081588e-002	1.617422e-001	9.074188e-002
3.500000000720357e-003	9.078103e-002	1.617422e-001	9.074188e-002
3.500000000777645e-003	9.079271e-002	1.617422e-001	9.074188e-002
3.500000000788898e-003	9.079516e-002	1.617422e-001	9.074188e-002
3.500000000800151e-003	9.079522e-002	1.617422e-001	9.074188e-002
3.500000000811404e-003	9.079290e-002	1.617422e-001	9.074188e-002
3.500000000822657e-003	9.078819e-002	1.617422e-001	9.074188e-002
3.500000000833909e-003	9.078109e-002	1.617422e-001	9.074188e-002
3.500000000845163e-003	9.077161e-002	1.617422e-001	9.074188e-002
3.500000000856415e-003	9.075975e-002	1.617422e-001	9.074188e-002
3.500000001004408e-003	9.073632e-002	1.617422e-001	9.074188e-002
3.500000001037826e-003	9.071275e-002	1.617422e-001	9.074188e-002
3.500000001061696e-003	9.071312e-002	1.617422e-001	9.074188e-002
3.500000001085565e-003	9.071535e-002	1.617422e-001	9.074188e-002
3.500000001109435e-003	9.071943e-002	1.617422e-001	9.074188e-002
3.500000001133305e-003	9.072536e-002	1.617422e-001	9.074188e-002
3.500000001157175e-003	9.073314e-002	1.617422e-001	9.074188e-002
3.500000001181045e-003	9.074278e-002	1.617422e-001	9.074188e-002
3.500000001204914e-003	9.075426e-002	1.617422e-001	9.074188e-002
3.500000001739598e-003	9.070135e-002	1.617422e-001	9.074188e-002
3.500000002808965e-003	9.072013e-002	1.617422e-001	9.074188e-002
3.500000006475365e-003	9.073941e-002	1.617422e-001	9.074188e-002
3.500000095167339e-003	9.073164e-002	1.617422e-001	9.074187e-002
3.500000183859314e-003	9.072585e-002	1.617422e-001	9.074186e-002
3.500000272551288e-003	9.072207e-002	1.617421e-001	9.074185e-002
3.500000361243263e-003	9.072027e-002	1.617421e-001	9.074185e-002
3.500000449935237e-003	9.072047e-002	1.617421e-001	9.074184e-002
3.500000538627212e-003	9.072266e-002	1.617421e-001	9.074183e-002
3.500000627319186e-003	9.072684e-002	1.617421e-001	9.074182e-002
3.630252000488235e-003	7.964178e-002	1.419804e-001	7.965678e-002
3.640252000488238e-003	-6.242104e+001	-1.873591e+002	7.896745e-002
3.650252000488241e-003	-2.499213e+002	-5.623593e+002	7.869957e-002
3.660252000488244e-003	-4.374209e+002	-7.498584e+002	7.905625e-002
3.670252000488247e-003	-4.999202e+002	-7.498574e+002	7.982397e-002
3.707394857631116e-003	-4.999170e+002	-7.498535e+002	8.297903e-002
3.744537714773984e-003	-4.999140e+002	-7.498497e+002	8.602870e-002
3.781680571916853e-003	-4.999110e+002	-7.498461e+002	8.897298e-002
3.818823429059721e-003	-4.999082e+002	-7.498425e+002	9.181187e-002
3.855966286202590e-003	-4.999055e+002	-7.498392e+002	9.454538e-002
3.893109143345458e-003	-4.999028e+002	-7.498359e+002	9.717349e-002
3.930252000488327e-003	-4.999003e+002	-7.498328e+002	9.969622e-002
3.940252000488330e-003	-3.748999e+002	-5.623324e+002	1.876001e+002
3.950252000488333e-003	-1.249000e+002	-1.873328e+002	5.626000e+002
3.960252000488336e-003	9.918213e-002	1.658936e-001	7.500992e+002
4.000000000000087e-003	9.527588e-002	1.593628e-001	7.500953e+002
4.034621999267705e-003	9.204102e-002	1.539917e-001	7.500920e+002
4.044621999267709e-003	-1.249086e+002	-1.873472e+002	5.625914e+002
4.054621999267712e-003	-3.749087e+002	-5.623475e+002	1.875913e+002
4.064621999267715e-003	-4.999082e+002	-7.498468e+002	9.183781e-002
4.098907713553439e-003	-4.999056e+002	-7.498436e+002	9.435152e-002
4.133193427839165e-003	-4.999032e+002	-7.498404e+002	9.678710e-002
4.167479142124889e-003	-4.999009e+002	-7.498374e+002	9.914457e-002
4.201764856410614e-003	-4.998986e+002	-7.498344e+002	1.014239e-001
4.236050570696339e-003	-4.998964e+002	-7.498316e+002	1.036251e-001
4.270336284982064e-003	-4.998943e+002	-7.498288e+002	1.057482e-001
4.304621999267788e-003	-4.998922e+002	-7.498262e+002	1.077932e-001
4.314621999267791e-003	-4.373917e+002	-5.623257e+002	1.082748e-001
4.324621999267794e-003	-3.123916e+002	-1.873263e+002	1.084407e-001
4.334621999267797e-003	-2.498917e+002	1.723201e-001	1.082939e-001
