time	I(D)	I(L1)	I(a)
0.000000000000000e+000	4.500000e-002	-3.538070e+001	-3.536570e+001
1.152587890620865e-004	4.500000e-002	-3.152733e+001	-3.151233e+001
1.252587890620896e-004	7.977761e+000	-3.142072e+001	-2.347483e+001
1.352587890620927e-004	2.417889e+001	-3.193705e+001	-7.793785e+000
1.452587890620957e-004	3.311513e+001	-3.307013e+001	7.499670e-003
1.652587890621018e-004	3.576009e+001	-3.571509e+001	7.499644e-003
1.752587890621049e-004	4.824565e+001	-3.691420e+001	7.499631e-003
1.852587890621080e-004	7.178971e+001	-3.779042e+001	7.499623e-003
1.952587890621110e-004	8.391653e+001	-3.834698e+001	7.499617e-003
2.295445033478358e-004	8.669769e+001	-3.985828e+001	7.499602e-003
2.638302176335606e-004	8.939242e+001	-4.132260e+001	7.499587e-003
2.981159319192854e-004	9.200071e+001	-4.273995e+001	7.499573e-003
3.324016462050102e-004	9.452257e+001	-4.411034e+001	7.499560e-003
3.666873604907350e-004	9.695800e+001	-4.543376e+001	7.499546e-003
4.009730747764598e-004	9.930699e+001	-4.671021e+001	7.499533e-003
4.352587890621845e-004	1.015695e+002	-4.793970e+001	7.499521e-003
4.452587890621876e-004	7.651338e+001	-4.818790e+001	7.499519e-003
4.552587890621906e-004	2.558842e+001	-4.812270e+001	7.499519e-003
4.652587890621937e-004	4.500000e-002	-4.774719e+001	7.499523e-003
4.702809709818064e-004	4.500000e-002	-4.750763e+001	7.499525e-003
4.753031529014191e-004	4.500000e-002	-4.726927e+001	7.499528e-003
4.803253348210317e-004	4.500000e-002	-4.703211e+001	7.499530e-003
4.853475167406444e-004	4.500000e-002	-4.679616e+001	7.499533e-003
4.903696986602571e-004	4.500000e-002	-4.656142e+001	7.499535e-003
4.953918805798697e-004	4.500000e-002	-4.632788e+001	7.499537e-003
5.004140624994824e-004	4.500000e-002	-4.609555e+001	7.499540e-003
5.428359374816186e-004	4.500000e-002	-4.418084e+001	7.499559e-003
5.528359374816216e-004	2.314658e+001	-4.384458e+001	7.499562e-003
5.628359374816247e-004	6.953430e+001	-4.382262e+001	7.499563e-003
5.728359374816278e-004	9.318775e+001	-4.411182e+001	7.499559e-003
6.028359374816369e-004	9.535434e+001	-4.526770e+001	7.499548e-003
6.328359374816461e-004	9.746130e+001	-4.639177e+001	7.499536e-003
6.628359374816553e-004	9.950864e+001	-4.748403e+001	7.499526e-003
6.928359374816645e-004	1.014964e+002	-4.854448e+001	7.499515e-003
7.228359374816737e-004	1.034244e+002	-4.957312e+001	7.499505e-003
7.528359374816829e-004	1.052929e+002	-5.056996e+001	7.499495e-003
7.828359374816921e-004	1.071017e+002	-5.153498e+001	7.499485e-003
7.928359374816951e-004	9.377971e+001	-5.195468e+001	7.499481e-003
8.028359374816982e-004	6.667586e+001	-5.268116e+001	7.499474e-003
8.128359374817012e-004	5.375634e+001	-5.371134e+001	7.499463e-003
8.828359374817227e-004	6.139028e+001	-6.134528e+001	7.499387e-003
8.928359374817257e-004	4.657970e+001	-6.218555e+001	-1.564147e+001
