time	I(L1)	I(a)
0.000000000000000e+000	6.130668e+001	6.132167e+001
1.150000000000317e-004	6.060431e+001	6.061931e+001
1.250000000000348e-004	6.048115e+001	4.543600e+001
1.350000000000379e-004	6.017070e+001	1.514528e+001
1.450000000000409e-004	5.967316e+001	7.500597e-003
1.650000000000471e-004	5.855470e+001	7.500586e-003
1.750000000000501e-004	5.802753e+001	7.500581e-003
1.850000000000532e-004	5.759461e+001	7.500577e-003
1.950000000000562e-004	5.725582e+001	7.500573e-003
4.350000000001297e-004	4.996693e+001	7.500500e-003
4.450000000001328e-004	4.969824e+001	7.500498e-003
4.550000000001359e-004	4.952353e+001	7.500496e-003
4.650000000001389e-004	4.944270e+001	7.500495e-003
4.900000000000737e-004	4.931900e+001	7.500494e-003
4.999999999999311e-004	4.926960e+001	7.500493e-003
5.000000000002294e-004	4.926960e+001	7.500493e-003
5.000000000006319e-004	4.926960e+001	7.500493e-003
5.000000000014299e-004	4.926960e+001	7.500493e-003
5.000000000030327e-004	4.926960e+001	7.500493e-003
5.000000000034352e-004	4.926960e+001	7.500493e-003
5.000000000037336e-004	4.926960e+001	7.500493e-003
5.000000000042332e-004	4.926960e+001	7.500493e-003
5.000000000044344e-004	4.926960e+001	7.500493e-003
5.000000000048369e-004	4.926960e+001	7.500493e-003
5.000000000056348e-004	4.926960e+001	7.500493e-003
5.000000000058361e-004	4.926960e+001	7.500493e-003
5.000000000062385e-004	4.926960e+001	7.500493e-003
5.000000000070365e-004	4.926960e+001	7.500493e-003
5.000000000086394e-004	4.926960e+001	7.500493e-003
5.000000000091390e-004	4.926960e+001	7.500493e-003
5.000000000093402e-004	4.926960e+001	7.500493e-003
5.000000000097427e-004	4.926960e+001	7.500493e-003
5.000000000105406e-004	4.926960e+001	7.500493e-003
5.000000000111443e-004	4.926960e+001	7.500493e-003
5.000000000119423e-004	4.926960e+001	7.500493e-003
5.000000000135452e-004	4.926960e+001	7.500493e-003
5.000000000167509e-004	4.926960e+001	7.500493e-003
5.000000000175489e-004	4.926960e+001	7.500493e-003
5.000000000191518e-004	4.926960e+001	7.500493e-003
5.000000000223576e-004	4.926960e+001	7.500493e-003
5.000000000287691e-004	4.926960e+001	7.500493e-003
5.000000000315724e-004	4.926960e+001	7.500493e-003
5.000000000331753e-004	4.926960e+001	7.500493e-003
5.000000000363811e-004	4.926960e+001	7.500493e-003
5.000000000427926e-004	4.926960e+001	7.500493e-003
5.000000000700347e-004	4.926960e+001	7.500493e-003
5.000000000724356e-004	4.926960e+001	7.500493e-003
5.000000000820529e-004	4.926960e+001	7.500493e-003
5.000000000980748e-004	4.926960e+001	7.500493e-003
5.000000001173025e-004	4.926960e+001	7.500493e-003
5.000000001429417e-004	4.926960e+001	7.500493e-003
5.000000002326754e-004	4.926960e+001	7.500493e-003
5.000000002967700e-004	4.926960e+001	7.500493e-003
5.000000003736876e-004	4.926960e+001	7.500493e-003
5.000000004762445e-004	4.926960e+001	7.500493e-003
5.000000006813513e-004	4.926960e+001	7.500493e-003
5.000000010915648e-004	4.926960e+001	7.500493e-003
5.000000019119918e-004	4.926960e+001	7.500493e-003
5.000000021170986e-004	4.926960e+001	7.500493e-003
5.000000025273121e-004	4.926960e+001	7.500493e-003
5.000000033477392e-004	4.926960e+001	7.500493e-003
5.000000049886003e-004	4.926960e+001	7.500493e-003
5.000000078601019e-004	4.926960e+001	7.500493e-003
5.000000119622441e-004	4.926960e+001	7.500493e-003
5.000000121673509e-004	4.926960e+001	7.500493e-003
5.000000122186293e-004	4.926960e+001	7.500493e-003
5.000000122346512e-004	4.926960e+001	7.500493e-003
5.000000122795181e-004	4.926960e+001	7.500493e-003
5.000000123307966e-004	4.926960e+001	7.500493e-003
5.000000126384602e-004	4.926960e+001	7.500493e-003
5.000000126897386e-004	4.926960e+001	7.500493e-003
5.000000127281939e-004	4.926960e+001	7.500493e-003
5.000000127922885e-004	4.926960e+001	7.500493e-003
5.000000128692062e-004	4.926960e+001	7.500493e-003
5.000000129717630e-004	4.926960e+001	7.500493e-003
5.000000129974022e-004	4.926960e+001	7.500493e-003
5.000000131512375e-004	4.926960e+001	7.500493e-003
5.000000133563443e-004	4.926960e+001	7.500493e-003
5.000000137665578e-004	4.926960e+001	7.500493e-003
5.000000145869848e-004	4.926960e+001	7.500493e-003
5.000000162278459e-004	4.926960e+001	7.500493e-003
5.000000195095611e-004	4.926960e+001	7.500493e-003
5.000000219708492e-004	4.926960e+001	7.500493e-003
5.000000226887263e-004	4.926960e+001	7.500493e-003
5.000000232014967e-004	4.926960e+001	7.500493e-003
5.000000232445327e-004	4.926960e+001	7.500493e-003
5.000000232875687e-004	4.926960e+001	7.500493e-003
5.000000233306047e-004	4.926960e+001	7.500493e-003
5.000000233736408e-004	4.926960e+001	7.500493e-003
5.000000234166768e-004	4.926960e+001	7.500493e-003
5.000000234597128e-004	4.926960e+001	7.500493e-003
5.000000235027488e-004	4.926960e+001	7.500493e-003
5.000000235155649e-004	4.926960e+001	7.500493e-003
5.000000235924826e-004	4.926960e+001	7.500493e-003
5.000000236950394e-004	4.926960e+001	7.500493e-003
5.000000244129166e-004	4.926960e+001	7.500493e-003
5.000000246180233e-004	4.926960e+001	7.500493e-003
5.000000250282369e-004	4.926960e+001	7.500493e-003
5.000000251307937e-004	4.926960e+001	7.500493e-003
5.000000253359005e-004	4.926960e+001	7.500493e-003
5.000000253871789e-004	4.926960e+001	7.500493e-003
5.000000253999951e-004	4.926960e+001	7.500493e-003
5.000000254032008e-004	4.926960e+001	7.500493e-003
5.000000254320458e-004	4.926960e+001	7.500493e-003
5.000000254448619e-004	4.926960e+001	7.500493e-003
5.000000254705012e-004	4.926960e+001	7.500493e-003
5.000000256243364e-004	4.926960e+001	7.500493e-003
5.000000259191770e-004	4.926960e+001	7.500493e-003
5.000000259384047e-004	4.926960e+001	7.500493e-003
5.000000259640439e-004	4.926960e+001	7.500493e-003
5.000000261178791e-004	4.926960e+001	7.500493e-003
5.000000263229859e-004	4.926960e+001	7.500493e-003
5.000000267331994e-004	4.926960e+001	7.500493e-003
5.000000275536265e-004	4.926960e+001	7.500493e-003
5.000000291944876e-004	4.926960e+001	7.500493e-003
5.000000324762027e-004	4.926960e+001	7.500493e-003
5.000000406804941e-004	4.926960e+001	7.500493e-003
5.000000413983713e-004	4.926960e+001	7.500493e-003
5.000000418085848e-004	4.926960e+001	7.500493e-003
5.000000426290119e-004	4.926960e+001	7.500493e-003
5.000000442698729e-004	4.926960e+001	7.500493e-003
5.000000475515881e-004	4.926960e+001	7.500493e-003
5.000000541150185e-004	4.926960e+001	7.500493e-003
5.000000705235944e-004	4.926960e+001	7.500493e-003
5.000000869321702e-004	4.926960e+001	7.500493e-003
5.000001033407461e-004	4.926960e+001	7.500493e-003
5.000001197493220e-004	4.926960e+001	7.500493e-003
5.000001361578979e-004	4.926960e+001	7.500493e-003
5.000001525664738e-004	4.926960e+001	7.500493e-003
5.000001689750497e-004	4.926960e+001	7.500493e-003
5.437645751503878e-004	4.905402e+001	7.500491e-003
5.537645751503909e-004	4.897366e+001	7.500490e-003
5.637645751503939e-004	4.879967e+001	7.500488e-003
5.737645751503970e-004	4.853217e+001	7.500486e-003
7.737645751504582e-004	4.261903e+001	7.500427e-003
7.837645751504613e-004	4.229523e+001	7.500424e-003
7.937645751504643e-004	4.187807e+001	7.500419e-003
8.037645751504674e-004	4.136761e+001	7.500414e-003
8.837645751504919e-004	3.705332e+001	7.500371e-003
8.937645751504950e-004	3.657893e+001	9.066846e+000
9.037645751504980e-004	3.629242e+001	2.717646e+001
9.137645751505011e-004	3.619360e+001	3.620860e+001
1.000000000000077e-003	3.588220e+001	3.589720e+001
1.075000000000097e-003	3.561357e+001	3.562857e+001
1.085000000000100e-003	3.551543e+001	2.670546e+001
1.095000000000103e-003	3.522999e+001	8.903849e+000
1.105000000000106e-003	3.475742e+001	7.500348e-003
1.215000000000140e-003	2.890663e+001	7.500289e-003
1.225000000000143e-003	2.840917e+001	7.500284e-003
1.235000000000146e-003	2.800590e+001	7.500281e-003
1.245000000000149e-003	2.769675e+001	7.500277e-003
1.415000000000201e-003	2.301495e+001	7.500231e-003
1.425000000000204e-003	2.277326e+001	7.500228e-003
1.435000000000207e-003	2.262551e+001	7.500227e-003
1.445000000000210e-003	2.257162e+001	7.500226e-003
1.490000000000075e-003	2.247007e+001	7.500225e-003
1.499999999999779e-003	2.244756e+001	7.500225e-003
1.500000000000674e-003	2.244756e+001	7.500225e-003
1.500000000002909e-003	2.244756e+001	7.500225e-003
1.500000000003804e-003	2.244756e+001	7.500225e-003
1.500000000005393e-003	2.244756e+001	7.500225e-003
1.500000000005594e-003	2.244756e+001	7.500225e-003
1.500000000005997e-003	2.244756e+001	7.500225e-003
1.500000000006795e-003	2.244756e+001	7.500225e-003
1.500000000008397e-003	2.244756e+001	7.500225e-003
1.500000000011603e-003	2.244756e+001	7.500225e-003
1.500000000018015e-003	2.244756e+001	7.500225e-003
1.500000000030831e-003	2.244756e+001	7.500225e-003
1.500000000062882e-003	2.244756e+001	7.500225e-003
1.500000000075698e-003	2.244756e+001	7.500225e-003
1.500000000101337e-003	2.244756e+001	7.500225e-003
1.500000000152615e-003	2.244756e+001	7.500225e-003
1.500000000255172e-003	2.244756e+001	7.500225e-003
1.500000000460279e-003	2.244756e+001	7.500225e-003
1.500000000870493e-003	2.244756e+001	7.500225e-003
1.500000001690920e-003	2.244756e+001	7.500225e-003
1.500000013176926e-003	2.244756e+001	7.500225e-003
1.563764511240295e-003	2.230460e+001	7.500224e-003
1.573764511240298e-003	2.225103e+001	7.500223e-003
1.583764511240302e-003	2.210381e+001	7.500221e-003
1.593764511240305e-003	2.186303e+001	7.500219e-003
1.733764511240347e-003	1.808291e+001	7.500181e-003
1.743764511240351e-003	1.778369e+001	7.500178e-003
1.753764511240354e-003	1.739107e+001	7.500174e-003
1.763764511240357e-003	1.690514e+001	7.500170e-003
1.913764511240403e-003	9.209036e+000	7.500092e-003
1.923764511240406e-003	8.762531e+000	2.119712e+000
1.933764511240409e-003	8.503881e+000	6.342022e+000
1.943764511240412e-003	8.432896e+000	8.447895e+000
2.000000000000078e-003	8.385509e+000	8.400510e+000
2.055000000000092e-003	8.339426e+000	8.354426e+000
2.065000000000095e-003	8.268606e+000	6.263517e+000
2.075000000000098e-003	8.010450e+000	2.092143e+000
2.085000000000101e-003	7.565146e+000	7.500076e-003
2.109285714285823e-003	6.333968e+000	7.500064e-003
2.133571428571544e-003	5.105764e+000	7.500052e-003
2.157857142857266e-003	3.880534e+000	7.500039e-003
2.182142857142987e-003	2.658279e+000	7.500027e-003
2.206428571428709e-003	1.438998e+000	7.500015e-003
2.230714285714431e-003	2.226907e-001	7.500003e-003
2.255000000000153e-003	-9.906420e-001	7.499991e-003
2.265000000000156e-003	-1.489399e+000	7.499986e-003
2.275000000000159e-003	-1.956423e+000	7.499981e-003
2.285000000000162e-003	-2.329276e+000	7.499977e-003
2.295000000000165e-003	-2.608052e+000	7.499975e-003
2.385000000000193e-003	-4.824524e+000	7.499952e-003
2.395000000000196e-003	-5.038332e+000	7.499950e-003
2.405000000000199e-003	-5.158224e+000	7.499949e-003
2.415000000000202e-003	-5.184293e+000	7.499949e-003
2.427142857143002e-003	-5.177989e+000	7.499949e-003
2.439285714285801e-003	-5.171693e+000	7.499949e-003
2.451428571428601e-003	-5.165404e+000	7.499949e-003
2.463571428571401e-003	-5.159123e+000	7.499949e-003
2.475714285714201e-003	-5.152849e+000	7.499949e-003
2.487857142857001e-003	-5.146583e+000	7.499949e-003
2.499999999999801e-003	-5.140324e+000	7.499949e-003
2.500000000000079e-003	-5.140324e+000	7.499949e-003
2.500000000000634e-003	-5.140324e+000	7.499949e-003
2.500000000002021e-003	-5.140324e+000	7.499949e-003
2.500000000002577e-003	-5.140324e+000	7.499949e-003
2.500000000003964e-003	-5.140324e+000	7.499949e-003
2.500000000005709e-003	-5.140324e+000	7.499949e-003
2.500000000007454e-003	-5.140324e+000	7.499949e-003
2.500000000009198e-003	-5.140324e+000	7.499949e-003
2.500000000010943e-003	-5.140324e+000	7.499949e-003
2.500000000012687e-003	-5.140324e+000	7.499949e-003
2.500000000014432e-003	-5.140324e+000	7.499949e-003
