time	I(L1)	I(a)
0.000000000000000e+000	-2.186666e+001	-2.185166e+001
2.217982700887126e-005	-2.138746e+001	-2.137246e+001
4.435965401774252e-005	-2.091819e+001	-2.090319e+001
6.653948102661379e-005	-2.045883e+001	-2.044383e+001
8.871930803548505e-005	-2.000939e+001	-1.999439e+001
1.108991350443563e-004	-1.956988e+001	-1.955487e+001
1.330789620532276e-004	-1.914028e+001	-1.912528e+001
1.552587890620988e-004	-1.872060e+001	-1.870560e+001
1.652587890621018e-004	-1.874150e+001	-1.393377e+001
1.752587890621049e-004	-1.938408e+001	-4.624059e+000
1.852587890621080e-004	-2.064214e+001	7.499794e-003
1.952587890621110e-004	-2.199133e+001	7.499781e-003
2.052587890621141e-004	-2.301615e+001	7.499770e-003
2.152587890621172e-004	-2.371981e+001	7.499763e-003
2.352587890621233e-004	-2.489880e+001	7.499752e-003
2.552587890621294e-004	-2.605554e+001	7.499740e-003
2.752587890621355e-004	-2.719003e+001	7.499729e-003
2.952587890621417e-004	-2.830227e+001	7.499718e-003
3.152587890621478e-004	-2.939225e+001	7.499707e-003
3.352587890621540e-004	-3.045999e+001	7.499696e-003
3.552587890621600e-004	-3.150547e+001	7.499686e-003
3.652587890621631e-004	-3.191731e+001	7.499681e-003
3.752587890621661e-004	-3.201410e+001	7.499680e-003
3.852587890621692e-004	-3.179899e+001	7.499683e-003
5.000000000000768e-004	-2.834899e+001	7.499717e-003
6.128359374816400e-004	-2.532277e+001	7.499747e-003
6.228359374816431e-004	-2.517429e+001	7.499749e-003
6.328359374816461e-004	-2.533822e+001	7.499747e-003
6.428359374816492e-004	-2.581147e+001	7.499742e-003
6.599787946245116e-004	-2.678818e+001	7.499733e-003
6.771216517673739e-004	-2.774895e+001	7.499723e-003
6.942645089102364e-004	-2.869380e+001	7.499713e-003
7.114073660530988e-004	-2.962271e+001	7.499704e-003
7.285502231959612e-004	-3.053569e+001	7.499695e-003
7.456930803388236e-004	-3.143274e+001	7.499686e-003
7.628359374816859e-004	-3.231387e+001	7.499678e-003
7.728359374816890e-004	-3.292496e+001	7.499672e-003
7.828359374816921e-004	-3.384090e+001	7.499662e-003
7.928359374816951e-004	-3.505867e+001	7.499650e-003
8.328359374817074e-004	-4.021815e+001	7.499598e-003
8.428359374817104e-004	-4.126878e+001	-1.046447e+001
8.528359374817135e-004	-4.168706e+001	-3.130413e+001
8.628359374817166e-004	-4.147929e+001	-4.146428e+001
1.000000000000077e-003	-3.615852e+001	-3.614351e+001
1.135000000000115e-003	-3.159020e+001	-3.157520e+001
1.145000000000118e-003	-3.148296e+001	-2.352167e+001
1.155000000000121e-003	-3.199867e+001	-7.809345e+000
1.165000000000124e-003	-3.313114e+001	7.499669e-003
1.173571428571555e-003	-3.427045e+001	7.499658e-003
1.182142857142987e-003	-3.540023e+001	7.499646e-003
1.190714285714418e-003	-3.652049e+001	7.499635e-003
1.199285714285849e-003	-3.763122e+001	7.499624e-003
1.207857142857280e-003	-3.873243e+001	7.499613e-003
1.216428571428712e-003	-3.982411e+001	7.499602e-003
1.225000000000143e-003	-4.090627e+001	7.499591e-003
1.235000000000146e-003	-4.205369e+001	7.499580e-003
1.245000000000149e-003	-4.287874e+001	7.499572e-003
1.255000000000152e-003	-4.338464e+001	7.499567e-003
1.267857142857299e-003	-4.389440e+001	7.499562e-003
1.280714285714445e-003	-4.439786e+001	7.499557e-003
1.293571428571592e-003	-4.489500e+001	7.499552e-003
1.306428571428739e-003	-4.538582e+001	7.499547e-003
1.319285714285886e-003	-4.587033e+001	7.499542e-003
1.332142857143033e-003	-4.634853e+001	7.499537e-003
1.345000000000179e-003	-4.682041e+001	7.499532e-003
1.355000000000182e-003	-4.707977e+001	7.499530e-003
1.365000000000186e-003	-4.702559e+001	7.499530e-003
1.375000000000189e-003	-4.666101e+001	7.499534e-003
1.500000000000674e-003	-4.117369e+001	7.499589e-003
1.500000000185665e-003	-4.117369e+001	7.499589e-003
1.500000000219083e-003	-4.117369e+001	7.499589e-003
1.500000000229228e-003	-4.117369e+001	7.499589e-003
1.500000000239372e-003	-4.117369e+001	7.499589e-003
1.500000000249517e-003	-4.117369e+001	7.499589e-003
1.500000000259662e-003	-4.117369e+001	7.499589e-003
1.500000000269806e-003	-4.117369e+001	7.499589e-003
1.500000000279951e-003	-4.117369e+001	7.499589e-003
1.500000000290096e-003	-4.117369e+001	7.499589e-003
1.500000000290344e-003	-4.117369e+001	7.499589e-003
1.500000000290591e-003	-4.117369e+001	7.499589e-003
1.500000000290839e-003	-4.117369e+001	7.499589e-003
1.500000000291087e-003	-4.117369e+001	7.499589e-003
1.500000000291335e-003	-4.117369e+001	7.499589e-003
1.500000000291583e-003	-4.117369e+001	7.499589e-003
1.500000000291830e-003	-4.117369e+001	7.499589e-003
1.500000000293117e-003	-4.117369e+001	7.499589e-003
1.500000000294404e-003	-4.117369e+001	7.499589e-003
1.500000000295690e-003	-4.117369e+001	7.499589e-003
1.500000000296977e-003	-4.117369e+001	7.499589e-003
1.500000000298264e-003	-4.117369e+001	7.499589e-003
1.500000000299550e-003	-4.117369e+001	7.499589e-003
1.500000000300837e-003	-4.117369e+001	7.499589e-003
1.500000000304153e-003	-4.117369e+001	7.499589e-003
1.500000000307469e-003	-4.117369e+001	7.499589e-003
1.500000000310784e-003	-4.117369e+001	7.499589e-003
1.500000000314100e-003	-4.117369e+001	7.499589e-003
1.500000000317416e-003	-4.117369e+001	7.499589e-003
1.500000000320732e-003	-4.117369e+001	7.499589e-003
1.500000000324048e-003	-4.117369e+001	7.499589e-003
1.500000000335254e-003	-4.117369e+001	7.499589e-003
1.500000000349658e-003	-4.117369e+001	7.499589e-003
1.500000000364062e-003	-4.117369e+001	7.499589e-003
1.500000000378466e-003	-4.117369e+001	7.499589e-003
1.500000000392871e-003	-4.117369e+001	7.499589e-003
1.500000000407275e-003	-4.117369e+001	7.499589e-003
1.500000000421679e-003	-4.117369e+001	7.499589e-003
1.500000000436083e-003	-4.117369e+001	7.499589e-003
1.500000000440084e-003	-4.117369e+001	7.499589e-003
1.500000000444085e-003	-4.117369e+001	7.499589e-003
1.500000000448085e-003	-4.117369e+001	7.499589e-003
1.500000000452086e-003	-4.117369e+001	7.499589e-003
1.500000000456087e-003	-4.117369e+001	7.499589e-003
1.500000000460088e-003	-4.117369e+001	7.499589e-003
1.500000000464088e-003	-4.117369e+001	7.499589e-003
1.500000000470091e-003	-4.117369e+001	7.499589e-003
1.500000000476093e-003	-4.117369e+001	7.499589e-003
1.500000000482095e-003	-4.117369e+001	7.499589e-003
1.500000000488097e-003	-4.117369e+001	7.499589e-003
1.500000000494099e-003	-4.117369e+001	7.499589e-003
1.500000000500101e-003	-4.117369e+001	7.499589e-003
1.500000000506103e-003	-4.117369e+001	7.499589e-003
1.500000000510905e-003	-4.117369e+001	7.499589e-003
1.500000000511448e-003	-4.117369e+001	7.499589e-003
1.500000000511992e-003	-4.117369e+001	7.499589e-003
1.500000000512535e-003	-4.117369e+001	7.499589e-003
1.500000000513078e-003	-4.117369e+001	7.499589e-003
1.500000000513621e-003	-4.117369e+001	7.499589e-003
1.500000000514165e-003	-4.117369e+001	7.499589e-003
1.500000000514708e-003	-4.117369e+001	7.499589e-003
1.500000000515022e-003	-4.117369e+001	7.499589e-003
1.500000000515336e-003	-4.117369e+001	7.499589e-003
1.500000000515650e-003	-4.117369e+001	7.499589e-003
1.500000000515965e-003	-4.117369e+001	7.499589e-003
1.500000000516279e-003	-4.117369e+001	7.499589e-003
1.500000000516593e-003	-4.117369e+001	7.499589e-003
1.500000000516907e-003	-4.117369e+001	7.499589e-003
1.500000000518913e-003	-4.117369e+001	7.499589e-003
1.500000000519169e-003	-4.117369e+001	7.499589e-003
1.500000000519426e-003	-4.117369e+001	7.499589e-003
1.500000000519683e-003	-4.117369e+001	7.499589e-003
1.500000000519940e-003	-4.117369e+001	7.499589e-003
1.500000000520196e-003	-4.117369e+001	7.499589e-003
1.500000000520453e-003	-4.117369e+001	7.499589e-003
1.500000000520710e-003	-4.117369e+001	7.499589e-003
1.500000000521709e-003	-4.117369e+001	7.499589e-003
1.500000000521995e-003	-4.117369e+001	7.499589e-003
1.500000000522280e-003	-4.117369e+001	7.499589e-003
1.500000000522566e-003	-4.117369e+001	7.499589e-003
1.500000000522851e-003	-4.117369e+001	7.499589e-003
1.500000000523137e-003	-4.117369e+001	7.499589e-003
1.500000000523422e-003	-4.117369e+001	7.499589e-003
1.500000000523707e-003	-4.117369e+001	7.499589e-003
1.500000000525310e-003	-4.117369e+001	7.499589e-003
1.500000000583382e-003	-4.117369e+001	7.499589e-003
1.500000000641454e-003	-4.117369e+001	7.499589e-003
1.500000000699525e-003	-4.117369e+001	7.499589e-003
1.500000000757597e-003	-4.117369e+001	7.499589e-003
1.500000000815668e-003	-4.117369e+001	7.499589e-003
1.500000000873740e-003	-4.117369e+001	7.499589e-003
1.500000000931812e-003	-4.117369e+001	7.499589e-003
1.500000001020976e-003	-4.117369e+001	7.499589e-003
1.500000001110141e-003	-4.117369e+001	7.499589e-003
1.500000001199306e-003	-4.117369e+001	7.499589e-003
1.500000001288471e-003	-4.117369e+001	7.499589e-003
1.500000001377636e-003	-4.117369e+001	7.499589e-003
1.500000001466800e-003	-4.117369e+001	7.499589e-003
1.500000001555965e-003	-4.117369e+001	7.499589e-003
1.500000001649786e-003	-4.117369e+001	7.499589e-003
1.500000001650486e-003	-4.117369e+001	7.499589e-003
1.500000001651186e-003	-4.117369e+001	7.499589e-003
1.500000001651885e-003	-4.117369e+001	7.499589e-003
1.500000001652585e-003	-4.117369e+001	7.499589e-003
1.500000001653285e-003	-4.117369e+001	7.499589e-003
1.500000001653985e-003	-4.117369e+001	7.499589e-003
1.500000001654685e-003	-4.117369e+001	7.499589e-003
1.500000001669097e-003	-4.117369e+001	7.499589e-003
1.500000001688304e-003	-4.117369e+001	7.499589e-003
1.500000001867549e-003	-4.117369e+001	7.499589e-003
1.500000032624383e-003	-4.117369e+001	7.499589e-003
1.500000063381216e-003	-4.117369e+001	7.499589e-003
1.500000094138050e-003	-4.117369e+001	7.499589e-003
1.500000124894884e-003	-4.117369e+001	7.499589e-003
1.500000155651717e-003	-4.117369e+001	7.499589e-003
1.500000186408551e-003	-4.117369e+001	7.499589e-003
1.500000217165384e-003	-4.117369e+001	7.499589e-003
1.623747289273725e-003	-3.637908e+001	7.499637e-003
1.633747289273728e-003	-3.612051e+001	7.499639e-003
1.643747289273731e-003	-3.617545e+001	7.499639e-003
1.653747289273734e-003	-3.654079e+001	7.499635e-003
1.665175860702309e-003	-3.707208e+001	7.499630e-003
1.676604432130884e-003	-3.759749e+001	7.499624e-003
1.688033003559459e-003	-3.811703e+001	7.499619e-003
1.699461574988034e-003	-3.863069e+001	7.499614e-003
1.710890146416609e-003	-3.913848e+001	7.499609e-003
1.722318717845184e-003	-3.964039e+001	7.499604e-003
1.733747289273759e-003	-4.013644e+001	7.499599e-003
1.743747289273762e-003	-4.066964e+001	7.499594e-003
1.753747289273765e-003	-4.150848e+001	7.499585e-003
1.763747289273768e-003	-4.264990e+001	7.499574e-003
1.775175860702343e-003	-4.405840e+001	7.499560e-003
1.786604432130917e-003	-4.545133e+001	7.499546e-003
1.798033003559492e-003	-4.682869e+001	7.499532e-003
1.809461574988067e-003	-4.819047e+001	7.499519e-003
1.820890146416642e-003	-4.953669e+001	7.499505e-003
1.832318717845217e-003	-5.086733e+001	7.499492e-003
1.843747289273792e-003	-5.218240e+001	7.499479e-003
1.853747289273795e-003	-5.311390e+001	-1.339619e+001
1.863747289273798e-003	-5.341424e+001	-4.007011e+001
1.873747289273801e-003	-5.308970e+001	-5.307470e+001
2.000000000000078e-003	-4.678768e+001	-4.677268e+001
2.125000000000113e-003	-4.128756e+001	-4.127256e+001
2.135000000000116e-003	-4.108376e+001	-3.074623e+001
2.145000000000119e-003	-4.150388e+001	-1.020949e+001
2.155000000000122e-003	-4.254171e+001	7.499575e-003
2.185000000000131e-003	-4.620931e+001	7.499538e-003
2.205000000000137e-003	-4.859392e+001	7.499515e-003
2.225000000000144e-003	-5.093127e+001	7.499491e-003
2.235000000000147e-003	-5.208253e+001	7.499480e-003
2.245000000000150e-003	-5.322232e+001	7.499469e-003
2.255000000000153e-003	-5.435077e+001	7.499457e-003
2.265000000000156e-003	-5.540443e+001	7.499447e-003
2.269554712093905e-003	-5.573568e+001	7.499443e-003
2.274756163841457e-003	-5.592917e+001	7.499442e-003
2.288101913311892e-003	-5.629159e+001	7.499438e-003
2.298101913311895e-003	-5.656010e+001	7.499435e-003
2.308101913311898e-003	-5.682612e+001	7.499432e-003
2.328101913311904e-003	-5.735025e+001	7.499427e-003
2.338101913311907e-003	-5.751633e+001	7.499426e-003
2.346099296335287e-003	-5.739848e+001	7.499427e-003
2.354205168009334e-003	-5.701815e+001	7.499430e-003
2.375033001150869e-003	-5.584375e+001	7.499442e-003
2.395860834292404e-003	-5.469221e+001	7.499454e-003
2.416688667433939e-003	-5.356352e+001	7.499465e-003
2.437516500575474e-003	-5.245768e+001	7.499476e-003
2.458344333717009e-003	-5.137470e+001	7.499487e-003
2.479172166858543e-003	-5.031456e+001	7.499497e-003
2.500000000000079e-003	-4.927728e+001	7.499508e-003
2.521424834097466e-003	-4.823371e+001	7.499518e-003
2.542849668194853e-003	-4.721105e+001	7.499528e-003
2.564274502292241e-003	-4.620928e+001	7.499539e-003
2.585699336389628e-003	-4.522842e+001	7.499548e-003
2.607124170487016e-003	-4.426846e+001	7.499558e-003
2.628549004584403e-003	-4.332940e+001	7.499567e-003
2.649973838681791e-003	-4.241124e+001	7.499577e-003
2.659973838681794e-003	-4.207587e+001	7.499580e-003
2.667218735428689e-003	-4.206134e+001	7.499580e-003
2.674611670726919e-003	-4.228923e+001	7.499577e-003
2.708645826658696e-003	-4.366144e+001	7.499564e-003
2.715971080845141e-003	-4.402420e+001	7.499560e-003
2.722767869538678e-003	-4.457087e+001	7.499555e-003
2.729755560803501e-003	-4.534964e+001	7.499547e-003
2.742884121605119e-003	-4.693015e+001	7.499531e-003
