time	I(L1)	I(a)
0.000000000000000e+000	-1.450468e+001	-1.448968e+001
6.500000000001643e-005	-1.359162e+001	-1.357662e+001
7.500000000001950e-005	-1.335264e+001	-1.333764e+001
8.500000000002256e-005	-1.280510e+001	-1.279010e+001
9.500000000002562e-005	-1.195206e+001	-1.193706e+001
1.135714285714599e-004	-1.020010e+001	-1.018510e+001
1.321428571428942e-004	-8.478968e+000	-8.463968e+000
1.507142857143284e-004	-6.788667e+000	-6.773667e+000
1.692857142857627e-004	-5.129197e+000	-5.114197e+000
1.878571428571969e-004	-3.500556e+000	-3.485556e+000
2.064285714286312e-004	-1.902746e+000	-1.887746e+000
2.250000000000654e-004	-3.357664e-001	-3.207664e-001
2.350000000000685e-004	4.967614e-001	5.117614e-001
2.450000000000716e-004	1.321000e+000	1.336000e+000
2.550000000000746e-004	2.012960e+000	1.281153e+000
2.593099653052933e-004	2.033737e+000	5.834706e-001
2.643016400864229e-004	1.704569e+000	7.500018e-003
2.766658614477766e-004	6.607312e-001	7.500007e-003
2.866658614477796e-004	-1.743240e-001	7.499999e-003
2.966658614477827e-004	-1.001773e+000	7.499991e-003
3.166658614477888e-004	-2.632036e+000	7.499974e-003
3.466658614477980e-004	-5.017064e+000	7.499950e-003
3.538087185906573e-004	-5.574382e+000	7.499945e-003
3.609515757335167e-004	-6.127801e+000	7.499939e-003
3.680944328763760e-004	-6.677320e+000	7.499934e-003
3.752372900192353e-004	-7.222939e+000	7.499928e-003
3.823801471620947e-004	-7.764658e+000	7.499923e-003
3.895230043049540e-004	-8.302478e+000	7.499918e-003
3.966658614478133e-004	-8.836398e+000	7.499912e-003
4.066658614478164e-004	-9.473951e+000	7.499906e-003
4.166658614478194e-004	-9.794213e+000	7.499903e-003
4.266658614478225e-004	-9.800342e+000	7.499903e-003
5.002473632456997e-004	-9.104431e+000	7.499909e-003
5.755838844741651e-004	-8.443518e+000	7.499916e-003
5.855838844741682e-004	-8.463095e+000	7.499916e-003
5.955838844741712e-004	-8.793421e+000	7.499913e-003
6.055838844741743e-004	-9.431402e+000	7.499906e-003
6.212981701884648e-004	-1.058286e+001	7.499895e-003
6.370124559027554e-004	-1.171704e+001	7.499883e-003
6.527267416170458e-004	-1.283392e+001	7.499872e-003
6.684410273313364e-004	-1.393352e+001	7.499861e-003
6.841553130456270e-004	-1.501583e+001	7.499850e-003
6.998695987599174e-004	-1.608085e+001	7.499840e-003
7.155838844742080e-004	-1.712859e+001	7.499829e-003
7.255838844742110e-004	-1.757993e+001	-4.393561e+000
7.355838844742141e-004	-1.740489e+001	-1.294455e+001
7.455838844742171e-004	-1.660970e+001	-1.659470e+001
7.712981701885108e-004	-1.407616e+001	-1.406116e+001
7.970124559028044e-004	-1.160310e+001	-1.158810e+001
8.227267416170979e-004	-9.190526e+000	-9.175525e+000
8.484410273313915e-004	-6.838442e+000	-6.823442e+000
8.741553130456851e-004	-4.546846e+000	-4.531846e+000
8.998695987599788e-004	-2.315738e+000	-2.300738e+000
9.255838844742723e-004	-1.451182e-001	-1.301182e-001
9.355838844742753e-004	6.235391e-001	6.385391e-001
9.399457341203107e-004	8.198041e-001	8.348041e-001
9.444234754922079e-004	8.620632e-001	8.770632e-001
1.000000000000077e-003	8.154271e-001	8.304271e-001
1.050189423126832e-003	7.755045e-001	7.905045e-001
1.060189423126835e-003	8.324468e-001	8.474468e-001
1.064706127338166e-003	9.994989e-001	1.014499e+000
1.069359587770796e-003	1.334208e+000	1.349208e+000
1.084653828712749e-003	2.577497e+000	2.592497e+000
1.114653828712758e-003	4.963723e+000	4.978723e+000
1.137510971569908e-003	6.732451e+000	6.747452e+000
1.160368114427058e-003	8.463339e+000	8.478339e+000
1.183225257284208e-003	1.015638e+001	1.017139e+001
1.206082400141358e-003	1.181159e+001	1.182659e+001
1.228939542998508e-003	1.342895e+001	1.344395e+001
1.251796685855658e-003	1.500847e+001	1.502347e+001
1.274653828712807e-003	1.655015e+001	1.656515e+001
1.284653828712810e-003	1.700726e+001	1.275918e+001
1.294653828712813e-003	1.683792e+001	4.313426e+000
1.304653828712817e-003	1.604838e+001	7.500161e-003
1.316082400141392e-003	1.491928e+001	7.500150e-003
1.327510971569966e-003	1.380267e+001	7.500139e-003
1.338939542998541e-003	1.269854e+001	7.500128e-003
1.350368114427116e-003	1.160690e+001	7.500117e-003
1.361796685855691e-003	1.052774e+001	7.500106e-003
1.373225257284266e-003	9.461060e+000	7.500095e-003
1.384653828712841e-003	8.406864e+000	7.500085e-003
1.394653828712844e-003	7.597621e+000	7.500077e-003
1.404653828712847e-003	7.107381e+000	7.500072e-003
1.414653828712850e-003	6.932966e+000	7.500070e-003
1.500000000000078e-003	6.365284e+000	7.500064e-003
1.595000000000103e-003	5.788195e+000	7.500059e-003
1.605000000000106e-003	5.626914e+000	7.500057e-003
1.615000000000109e-003	5.156417e+000	7.500052e-003
1.624975755263040e-003	4.381250e+000	7.500045e-003
1.642747232372316e-003	2.836245e+000	7.500029e-003
1.662747232372322e-003	1.130123e+000	7.500012e-003
1.672747232372325e-003	2.896864e-001	7.500004e-003
1.682747232372328e-003	-5.423826e-001	7.499995e-003
1.692747232372331e-003	-1.367508e+000	7.499987e-003
1.696194220312114e-003	-1.587104e+000	-4.520444e-001
1.698891624185552e-003	-1.587115e+000	-1.142484e+000
1.701849853624607e-003	-1.394886e+000	-1.379886e+000
1.710337566203264e-003	-6.795940e-001	-6.645939e-001
1.719668422001469e-003	9.964205e-002	1.146420e-001
1.729668422001472e-003	9.276959e-001	9.426959e-001
1.749668422001478e-003	2.559427e+000	2.574427e+000
1.779668422001487e-003	4.946602e+000	4.961602e+000
1.801096993430066e-003	6.606572e+000	6.621571e+000
1.822525564858644e-003	8.233110e+000	8.248110e+000
1.843954136287221e-003	9.826218e+000	9.841217e+000
1.865382707715799e-003	1.138589e+001	1.140089e+001
1.886811279144378e-003	1.291214e+001	1.292714e+001
1.908239850572955e-003	1.440496e+001	1.441996e+001
1.929668422001533e-003	1.586434e+001	1.587934e+001
1.939668422001536e-003	1.643192e+001	1.644692e+001
1.949668422001540e-003	1.668290e+001	1.669790e+001
1.959668422001543e-003	1.662044e+001	1.663544e+001
2.000204032523031e-003	1.595936e+001	1.597436e+001
2.042854048945969e-003	1.529295e+001	1.530795e+001
2.052854048945972e-003	1.524432e+001	1.525932e+001
2.062854048945975e-003	1.550713e+001	1.552213e+001
2.072854048945978e-003	1.607827e+001	1.609327e+001
2.105711191803131e-003	1.824641e+001	1.826141e+001
2.138568334660284e-003	2.034972e+001	2.036472e+001
2.171425477517437e-003	2.238820e+001	2.240319e+001
2.204282620374590e-003	2.436184e+001	2.437684e+001
2.237139763231743e-003	2.627066e+001	2.628566e+001
2.269996906088896e-003	2.811465e+001	2.812965e+001
2.302854048946049e-003	2.989380e+001	2.990880e+001
2.312854048946052e-003	3.021804e+001	2.270024e+001
2.322854048946055e-003	2.991717e+001	7.616041e+000
2.332854048946058e-003	2.899740e+001	7.500290e-003
2.362854048946067e-003	2.567696e+001	7.500257e-003
2.372854048946070e-003	2.469576e+001	7.500248e-003
2.382854048946073e-003	2.403527e+001	7.500241e-003
2.392854048946076e-003	2.369231e+001	7.500237e-003
2.500000000000079e-003	2.128297e+001	7.500214e-003
2.615000000000110e-003	1.896993e+001	7.500190e-003
2.625000000000113e-003	1.867740e+001	7.500187e-003
2.635000000000116e-003	1.807684e+001	7.500181e-003
2.645000000000120e-003	1.717132e+001	7.500172e-003
2.655000000000123e-003	1.617116e+001	7.500162e-003
2.665000000000126e-003	1.538826e+001	3.766217e+000
2.675000000000129e-003	1.523504e+001	1.145354e+001
2.685000000000132e-003	1.570524e+001	1.572024e+001
2.720714285714428e-003	1.807061e+001	1.808561e+001
2.756428571428725e-003	2.035971e+001	2.037470e+001
2.792142857143022e-003	2.257253e+001	2.258753e+001
2.827857142857318e-003	2.470909e+001	2.472409e+001
2.863571428571615e-003	2.676937e+001	2.678437e+001
2.899285714285912e-003	2.875338e+001	2.876838e+001
2.935000000000208e-003	3.066112e+001	3.067612e+001
2.945000000000211e-003	3.108137e+001	3.109636e+001
2.955000000000214e-003	3.118649e+001	3.120148e+001
2.965000000000218e-003	3.097961e+001	3.099461e+001
3.000305473803991e-003	2.990349e+001	2.991849e+001
3.039550323485851e-003	2.875262e+001	2.876762e+001
3.049550323485854e-003	2.856998e+001	2.858498e+001
3.059550323485857e-003	2.870011e+001	2.871511e+001
3.069550323485860e-003	2.913988e+001	2.915488e+001
3.108121752057301e-003	3.118273e+001	3.119773e+001
3.146693180628741e-003	3.315499e+001	3.316999e+001
3.185264609200182e-003	3.505667e+001	3.507167e+001
3.223836037771622e-003	3.688777e+001	3.690277e+001
3.262407466343062e-003	3.864828e+001	3.866328e+001
3.300978894914503e-003	4.033821e+001	4.035321e+001
3.339550323485943e-003	4.195756e+001	4.197256e+001
3.349550323485946e-003	4.226533e+001	3.168777e+001
3.359550323485949e-003	4.225909e+001	1.060188e+001
3.369550323485952e-003	4.194197e+001	7.500420e-003
3.500000000000086e-003	3.680834e+001	7.500369e-003
3.631484039288438e-003	3.227125e+001	7.500323e-003
3.641484039288441e-003	3.215723e+001	8.124425e+000
3.651484039288444e-003	3.256258e+001	2.458842e+001
3.661484039288447e-003	3.327484e+001	3.328984e+001
3.671484039288450e-003	3.387636e+001	3.389136e+001
3.708626896431319e-003	3.567313e+001	3.568813e+001
3.745769753574187e-003	3.740989e+001	3.742489e+001
3.782912610717056e-003	3.908664e+001	3.910164e+001
3.820055467859924e-003	4.070336e+001	4.071836e+001
3.857198325002793e-003	4.226007e+001	4.227507e+001
3.894341182145661e-003	4.375676e+001	4.377175e+001
3.931484039288530e-003	4.519343e+001	4.520842e+001
3.941484039288533e-003	4.546898e+001	4.548398e+001
3.951484039288536e-003	4.543084e+001	4.544584e+001
3.961484039288539e-003	4.508215e+001	4.509715e+001
4.000000000000087e-003	4.337656e+001	4.339156e+001
4.035000000000094e-003	4.188473e+001	4.189973e+001
4.045000000000097e-003	4.157133e+001	4.158633e+001
4.055000000000100e-003	4.157201e+001	4.158701e+001
4.065000000000103e-003	4.188362e+001	4.189862e+001
4.099285714285828e-003	4.327595e+001	4.329095e+001
4.133571428571553e-003	4.462501e+001	4.464001e+001
4.167857142857278e-003	4.593081e+001	4.594580e+001
4.202142857143002e-003	4.719333e+001	4.720833e+001
4.236428571428728e-003	4.841257e+001	4.842757e+001
4.270714285714452e-003	4.958855e+001	4.960355e+001
4.305000000000177e-003	5.072126e+001	5.073626e+001
4.315000000000180e-003	5.114907e+001	5.116407e+001
4.325000000000183e-003	5.188356e+001	5.189856e+001
4.335000000000186e-003	5.292169e+001	5.293668e+001
4.365000000000195e-003	5.628231e+001	5.629731e+001
4.375000000000198e-003	5.717299e+001	4.277590e+001
4.385000000000201e-003	5.743291e+001	1.435513e+001
4.395000000000204e-003	5.706836e+001	7.500571e-003
4.410000000000273e-003	5.621879e+001	7.500563e-003
4.425000000000341e-003	5.538131e+001	7.500554e-003
4.440000000000410e-003	5.455591e+001	7.500546e-003
4.455000000000479e-003	5.374259e+001	7.500538e-003
4.470000000000547e-003	5.294135e+001	7.500530e-003
4.485000000000615e-003	5.215219e+001	7.500522e-003
4.500000000000684e-003	5.137511e+001	7.500514e-003
4.500000000002702e-003	5.137511e+001	7.500514e-003
4.500000000004718e-003	5.137511e+001	7.500514e-003
4.500000000006736e-003	5.137511e+001	7.500514e-003
4.500000000008753e-003	5.137511e+001	7.500514e-003
4.500000000010771e-003	5.137511e+001	7.500514e-003
4.500000000012787e-003	5.137511e+001	7.500514e-003
4.500000000014805e-003	5.137511e+001	7.500514e-003
4.500000000015506e-003	5.137511e+001	7.500514e-003
4.500000000016336e-003	5.137511e+001	7.500514e-003
4.500000000017165e-003	5.137511e+001	7.500514e-003
4.500000000017995e-003	5.137511e+001	7.500514e-003
4.500000000018824e-003	5.137511e+001	7.500514e-003
4.500000000019654e-003	5.137511e+001	7.500514e-003
4.500000000020483e-003	5.137511e+001	7.500514e-003
4.500000000021313e-003	5.137511e+001	7.500514e-003
4.500000000050144e-003	5.137511e+001	7.500514e-003
4.500000000078976e-003	5.137511e+001	7.500514e-003
4.500000000107807e-003	5.137511e+001	7.500514e-003
4.500000000136638e-003	5.137511e+001	7.500514e-003
4.500000000165469e-003	5.137511e+001	7.500514e-003
4.500000000194300e-003	5.137511e+001	7.500514e-003
4.500000000223131e-003	5.137511e+001	7.500514e-003
4.500000001658254e-003	5.137511e+001	7.500514e-003
4.500000003298393e-003	5.137511e+001	7.500514e-003
4.500000242759138e-003	5.137510e+001	7.500514e-003
4.500000482219884e-003	5.137509e+001	7.500514e-003
4.500000721680628e-003	5.137508e+001	7.500514e-003
4.500000961141373e-003	5.137507e+001	7.500514e-003
4.500001200602117e-003	5.137505e+001	7.500514e-003
4.500001440062863e-003	5.137504e+001	7.500514e-003
4.500001679523608e-003	5.137503e+001	7.500514e-003
4.603758509055977e-003	4.630965e+001	7.500464e-003
4.613758509055981e-003	4.605585e+001	1.156440e+001
4.623758509055984e-003	4.642647e+001	3.497774e+001
4.633758509055987e-003	4.741528e+001	4.743027e+001
4.673758509055999e-003	5.208993e+001	5.210493e+001
4.683758509056002e-003	5.312600e+001	5.314100e+001
4.693758509056005e-003	5.384081e+001	5.385580e+001
4.703758509056008e-003	5.423756e+001	5.425256e+001
4.735187080484589e-003	5.513460e+001	5.514960e+001
4.766615651913170e-003	5.600589e+001	5.602088e+001
4.798044223341751e-003	5.685141e+001	5.686641e+001
4.829472794770333e-003	5.767118e+001	5.768617e+001
4.860901366198913e-003	5.846519e+001	5.848018e+001
4.892329937627495e-003	5.923343e+001	5.924843e+001
4.923758509056075e-003	5.997592e+001	5.999092e+001
4.933758509056078e-003	6.010429e+001	6.011929e+001
4.943758509056082e-003	5.992043e+001	5.993543e+001
4.953758509056085e-003	5.942746e+001	5.944246e+001
5.000000000000088e-003	5.673882e+001	5.675382e+001
5.045000000000098e-003	5.424191e+001	5.425691e+001
5.055000000000101e-003	5.380548e+001	5.382048e+001
5.065000000000104e-003	5.368434e+001	5.369934e+001
5.075000000000107e-003	5.387535e+001	5.389035e+001
5.103571428571545e-003	5.470251e+001	5.471751e+001
5.132142857142982e-003	5.550790e+001	5.552290e+001
5.160714285714419e-003	5.629153e+001	5.630652e+001
5.189285714285856e-003	5.705339e+001	5.706838e+001
5.217857142857294e-003	5.779348e+001	5.780848e+001
5.246428571428732e-003	5.851180e+001	5.852680e+001
