time	I(D)	I(L1)	I(a)
0.000000000000000e+000	4.500000e-002	-5.661430e+001	-5.659930e+001
8.500000000002256e-005	4.500000e-002	-5.472013e+001	-5.470513e+001
9.500000000002562e-005	2.373413e+001	-5.443909e+001	-5.442409e+001
1.050000000000287e-004	7.126723e+001	-5.397205e+001	-5.395705e+001
1.150000000000317e-004	9.542026e+001	-5.331976e+001	-5.330475e+001
1.692857142857627e-004	9.873584e+001	-4.949258e+001	-4.947758e+001
2.235714285714936e-004	1.019838e+002	-4.574347e+001	-4.572847e+001
2.778571428572245e-004	1.051641e+002	-4.207242e+001	-4.205742e+001
3.321428571429555e-004	1.082768e+002	-3.847944e+001	-3.846444e+001
3.864285714286864e-004	1.113219e+002	-3.496453e+001	-3.494953e+001
4.407142857144173e-004	1.142993e+002	-3.152768e+001	-3.151268e+001
4.950000000001481e-004	1.172091e+002	-2.816889e+001	-2.815389e+001
5.050000000001512e-004	1.245382e+002	-2.768208e+001	-2.080730e+001
5.150000000001542e-004	1.386373e+002	-2.757146e+001	-6.879805e+000
5.250000000001573e-004	1.458808e+002	-2.783554e+001	7.499722e-003
5.650000000001695e-004	1.475308e+002	-2.937640e+001	7.499707e-003
6.050000000001818e-004	1.491556e+002	-3.089371e+001	7.499692e-003
6.450000000001940e-004	1.507552e+002	-3.238749e+001	7.499677e-003
6.850000000002063e-004	1.523296e+002	-3.385772e+001	7.499662e-003
7.250000000002185e-004	1.538788e+002	-3.530441e+001	7.499647e-003
7.650000000002309e-004	1.554027e+002	-3.672756e+001	7.499633e-003
8.050000000002430e-004	1.569015e+002	-3.812717e+001	7.499619e-003
8.150000000002461e-004	1.178733e+002	-3.841144e+001	7.499617e-003
8.250000000002492e-004	3.935202e+001	-3.850745e+001	7.499616e-003
8.350000000002522e-004	4.500000e-002	-3.841594e+001	7.499617e-003
9.523809523810170e-004	4.500000e-002	-3.665206e+001	7.499634e-003
1.087380952381055e-003	4.500000e-002	-3.472359e+001	7.499653e-003
1.097380952381058e-003	3.524568e+001	-3.464721e+001	7.499654e-003
1.107380952381061e-003	1.057559e+002	-3.475826e+001	7.499653e-003
1.117380952381064e-003	1.412826e+002	-3.505599e+001	7.499650e-003
1.327380952381128e-003	1.500338e+002	-4.229955e+001	7.499577e-003
1.337380952381131e-003	1.397552e+002	-4.250477e+001	-1.060550e+001
