time	beta	alpha
0.000000000000000e+000	-1.301803e+002	-4.959027e+001
1.250000000000348e-004	-1.238257e+002	-4.716956e+001
1.350000000000379e-004	-1.234389e+002	-4.691870e+001
1.450000000000409e-004	-1.233778e+002	-4.648171e+001
1.550000000000440e-004	-1.236410e+002	-4.585934e+001
2.035714285714875e-004	-1.254239e+002	-4.257393e+001
2.521428571429309e-004	-1.271739e+002	-3.934888e+001
3.007142857143744e-004	-1.288913e+002	-3.618418e+001
3.492857142858178e-004	-1.305758e+002	-3.307983e+001
3.978571428572613e-004	-1.322277e+002	-3.003583e+001
4.464285714287048e-004	-1.338467e+002	-2.705219e+001
4.950000000001481e-004	-1.354331e+002	-2.412890e+001
5.050000000001512e-004	-1.357562e+002	-2.365823e+001
5.150000000001542e-004	-1.360780e+002	-2.356370e+001
5.250000000001573e-004	-1.363985e+002	-2.384379e+001
5.592857142858820e-004	-1.374873e+002	-2.522064e+001
5.935714285716069e-004	-1.385617e+002	-2.657935e+001
6.278571428573317e-004	-1.396217e+002	-2.791990e+001
6.621428571430565e-004	-1.406674e+002	-2.924231e+001
6.964285714287813e-004	-1.416988e+002	-3.054656e+001
7.307142857145060e-004	-1.427158e+002	-3.183266e+001
7.650000000002308e-004	-1.437184e+002	-3.310061e+001
7.750000000002338e-004	-1.439004e+002	-3.340497e+001
7.850000000002369e-004	-1.437575e+002	-3.352098e+001
7.950000000002400e-004	-1.432911e+002	-3.344941e+001
9.523809523810170e-004	-1.345397e+002	-3.140651e+001
1.127380952381067e-003	-1.254356e+002	-2.928129e+001
1.137380952381070e-003	-1.250424e+002	-2.922665e+001
1.147380952381073e-003	-1.249749e+002	-2.935937e+001
1.157380952381076e-003	-1.252318e+002	-2.967867e+001
1.337380952381131e-003	-1.315636e+002	-3.629827e+001
1.347380952381135e-003	-1.319022e+002	-3.652747e+001
1.357380952381138e-003	-1.322394e+002	-3.638151e+001
1.367380952381141e-003	-1.325753e+002	-3.586188e+001
1.427380952381159e-003	-1.345598e+002	-3.205152e+001
1.487380952381177e-003	-1.364998e+002	-2.832651e+001
1.547380952381196e-003	-1.383954e+002	-2.468685e+001
1.607380952381214e-003	-1.402466e+002	-2.113253e+001
1.667380952381233e-003	-1.420533e+002	-1.766356e+001
1.727380952381251e-003	-1.438155e+002	-1.427994e+001
1.787380952381269e-003	-1.455333e+002	-1.098166e+001
1.797380952381272e-003	-1.457080e+002	-1.050115e+001
1.807380952381275e-003	-1.455579e+002	-1.020969e+001
1.817380952381278e-003	-1.450843e+002	-1.010652e+001
1.904761904761972e-003	-1.400954e+002	-9.758990e+000
1.989761904761994e-003	-1.354082e+002	-9.432479e+000
1.999761904761997e-003	-1.349751e+002	-9.332411e+000
2.009761904762000e-003	-1.348679e+002	-9.045618e+000
2.019761904762003e-003	-1.350852e+002	-8.572846e+000
2.048333333333441e-003	-1.360086e+002	-7.055381e+000
2.076904761904878e-003	-1.369218e+002	-5.554698e+000
2.105476190476316e-003	-1.378248e+002	-4.070797e+000
2.134047619047753e-003	-1.387176e+002	-2.603678e+000
2.162619047619190e-003	-1.396001e+002	-1.153341e+000
2.191190476190627e-003	-1.404724e+002	2.802149e-001
2.219761904762065e-003	-1.413346e+002	1.696988e+000
2.261190476190649e-003	-1.425669e+002	3.722080e+000
2.302619047619233e-003	-1.437797e+002	5.715179e+000
2.344047619047817e-003	-1.449730e+002	7.676285e+000
2.385476190476401e-003	-1.461469e+002	9.605399e+000
2.426904761904985e-003	-1.473014e+002	1.150252e+001
2.468333333333569e-003	-1.484363e+002	1.336765e+001
2.509761904762153e-003	-1.495518e+002	1.520079e+001
2.519761904762156e-003	-1.498185e+002	1.551429e+001
2.529761904762160e-003	-1.500841e+002	1.545230e+001
2.539761904762163e-003	-1.503487e+002	1.501630e+001
2.589761904762178e-003	-1.516557e+002	1.224352e+001
2.599761904762181e-003	-1.518059e+002	1.175797e+001
2.609761904762184e-003	-1.516315e+002	1.146148e+001
2.619761904762187e-003	-1.511336e+002	1.135331e+001
2.857142857142926e-003	-1.374297e+002	1.032386e+001
3.122142857143004e-003	-1.235951e+002	9.284586e+000
3.132142857143007e-003	-1.232092e+002	9.185110e+000
3.142142857143010e-003	-1.231490e+002	8.898906e+000
3.152142857143013e-003	-1.234132e+002	8.544854e+000
3.161139856699871e-003	-1.237472e+002	8.509209e+000
3.170304870242627e-003	-1.240862e+002	8.822117e+000
3.246019155956936e-003	-1.268336e+002	1.228020e+001
3.321733441671245e-003	-1.295047e+002	1.564226e+001
3.397447727385553e-003	-1.320996e+002	1.890830e+001
3.473162013099863e-003	-1.346182e+002	2.207831e+001
3.548876298814172e-003	-1.370605e+002	2.515231e+001
3.624590584528480e-003	-1.394265e+002	2.813028e+001
3.700304870242789e-003	-1.417162e+002	3.101223e+001
3.710304870242792e-003	-1.419061e+002	3.132493e+001
3.720304870242795e-003	-1.417712e+002	3.144926e+001
3.730304870242798e-003	-1.413127e+002	3.138597e+001
3.809523809523881e-003	-1.369002e+002	3.040593e+001
3.893352218445501e-003	-1.323819e+002	2.940241e+001
3.903352218445504e-003	-1.319610e+002	2.934729e+001
3.913352218445507e-003	-1.318658e+002	2.947952e+001
3.923352218445510e-003	-1.320951e+002	2.979835e+001
